SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 31-Oct-2025, 105.25, 104.20, 105.09, 104.00, 105.09, 105.09, 104.17, 6760, 7.04, 16, 5750, 85.06
20MICRONS, EQ, 31-Oct-2025, 207.74, 206.72, 207.90, 204.76, 206.30, 206.83, 206.83, 60289, 124.69, 1437, 38113, 63.22
21STCENMGM, EQ, 31-Oct-2025, 46.29, 45.70, 47.21, 45.70, 46.70, 46.70, 46.63, 2330, 1.09, 71, 1468, 63.00
360ONE, EQ, 31-Oct-2025, 1119.60, 1121.50, 1123.90, 1074.00, 1084.00, 1080.70, 1091.63, 587485, 6413.17, 25629, 312983, 53.28
3IINFOLTD, EQ, 31-Oct-2025, 17.19, 17.29, 17.82, 17.19, 17.59, 17.53, 17.55, 1603459, 281.34, 3443, 747665, 46.63
3MINDIA, EQ, 31-Oct-2025, 29865.00, 29705.00, 29965.00, 29380.00, 29595.00, 29560.00, 29500.09, 5604, 1653.19, 1377, 4221, 75.32
3PLAND, EQ, 31-Oct-2025, 43.37, 44.19, 44.19, 42.11, 42.40, 42.18, 42.47, 5787, 2.46, 131, 4592, 79.35
563GS2026, GS, 31-Oct-2025, 100.20, 100.20, 100.20, 100.20, 100.20, 100.20, 100.20, 95, 0.10, 1, 95, 100.00
574GS2026, GS, 31-Oct-2025, 101.66, 101.68, 101.68, 101.68, 101.68, 101.68, 101.68, 100, 0.10, 1, 100, 100.00
577GS2030, GS, 31-Oct-2025, 97.17, 99.99, 99.99, 99.99, 99.99, 99.99, 99.99, 2000, 2.00, 1, 2000, 100.00
579GS2030, GS, 31-Oct-2025, 98.95, 101.45, 101.45, 101.45, 101.45, 101.45, 101.45, 2000, 2.03, 1, 2000, 100.00
585GS2030, GS, 31-Oct-2025, 99.25, 100.99, 100.99, 100.99, 100.99, 100.99, 100.99, 2000, 2.02, 1, 2000, 100.00
5PAISA, EQ, 31-Oct-2025, 313.00, 312.00, 315.30, 310.50, 313.45, 311.70, 312.90, 40486, 126.68, 1571, 21443, 52.96
619GS2034, GS, 31-Oct-2025, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 1685, 1.65, 1, 1685, 100.00
63MOONS, EQ, 31-Oct-2025, 790.55, 798.45, 801.50, 788.20, 797.50, 795.95, 795.01, 57617, 458.06, 2720, 33298, 57.79
