SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,07-OCT-2015,25.55,25.85,25.95,25.5,25.55,25.75,0,30658,789156.4,0,0,0
3IINFOTECH,EQ,07-OCT-2015,4,4.25,4.25,3.85,4.05,4.05,0,5947609,23842333.05,0,0,0
3MINDIA,EQ,07-OCT-2015,11017.8,11004,11830,11000.05,11706,11713.8,0,1858,21377934.7,0,0,0
8KMILES,EQ,07-OCT-2015,1774.25,1780.95,1820,1652.35,1762.6,1770.7,0,274794,483471823.55,0,0,0
A2ZINFRA,EQ,07-OCT-2015,24.45,24.3,25.8,24.2,24.95,24.9,0,207669,5221153.2,0,0,0
AARTIDRUGS,EQ,07-OCT-2015,625.85,625.05,637,622.05,629.75,627.5,0,10522,6628854.15,0,0,0
AARTIIND,EQ,07-OCT-2015,567.65,561,587,552.9,555,558.65,0,216199,123037885.25,0,0,0
AARVEEDEN,EQ,07-OCT-2015,57.95,55.1,57.6,54.6,55,55.3,0,3788,211197.9,0,0,0
ABAN,EQ,07-OCT-2015,232.25,237.45,250.9,237.15,243.75,243.4,0,3933411,966567860.05,0,0,0
ABB,EQ,07-OCT-2015,1094.4,1107.95,1154.9,1094.35,1150,1144.6,0,65609,74265640.05,0,0,0
ABBOTINDIA,EQ,07-OCT-2015,5792.5,5800,5875,5750.05,5799,5795.55,0,6160,35865003,0,0,0
ABCIL,EQ,07-OCT-2015,217.3,216.2,221.05,216.15,220.7,220.8,0,8045,1768040.05,0,0,0
ABGSHIP,EQ,07-OCT-2015,139.7,140.7,141.1,136.5,137,137.5,0,126237,17504012.1,0,0,0
ABIRLANUVO,EQ,07-OCT-2015,2226.9,2235,2249,2178.5,2196,2202.85,0,100329,222283973.6,0,0,0
ACC,EQ,07-OCT-2015,1350.4,1353.5,1357,1329.2,1351.1,1352.25,0,249008,335672221.35,0,0,0
ACCELYA,EQ,07-OCT-2015,932.6,932.05,944,925,937.95,934.4,0,2862,2664061.65,0,0,0
ACE,EQ,07-OCT-2015,41.15,41.5,42.75,41.2,41.3,41.55,0,277164,11573004.6,0,0,0
ACROPETAL,EQ,07-OCT-2015,2.95,2.75,3.1,2.75,2.9,2.9,0,24686,70469.6,0,0,0
ADANIENT,EQ,07-OCT-2015,84.15,84.55,86.4,84.2,84.9,84.85,0,2831684,241368961.55,0,0,0
ADANIPORTS,EQ,07-OCT-2015,315.8,315.8,319.5,312.1,313.75,314.55,0,1851446,584971952.3,0,0,0
ADANIPOWER,EQ,07-OCT-2015,25.9,25.95,26.9,25.9,26.5,26.6,0,5355125,141748225.35,0,0,0
ADANITRANS,EQ,07-OCT-2015,28.2,27.6,29,27.6,29,28.55,0,644712,18194762.45,0,0,0
ADFFOODS,EQ,07-OCT-2015,95.35,95.75,102.45,93.5,99,99.1,0,468626,46840328.7,0,0,0
ADHUNIK,EQ,07-OCT-2015,14.95,15,15.15,14.8,15,14.95,0,263154,3944130.65,0,0,0
ADI,EQ,07-OCT-2015,195.4,201,214,195,214,207.9,0,3441,698772.7,0,0,0
ADLABS,EQ,07-OCT-2015,112.15,112.85,115.9,112,113.65,113.8,0,70079,7971782.3,0,0,0
ADORWELD,EQ,07-OCT-2015,285.05,289.9,289.9,281.25,287.4,285.5,0,2308,655754.2,0,0,0
ADSL,EQ,07-OCT-2015,28.95,28.7,34.7,28.25,34.7,34.55,0,743623,25179738,0,0,0
ADVANTA,EQ,07-OCT-2015,558.6,554.35,570,550,556.5,557,0,217725,120983781.05,0,0,0
