SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 09-Oct-2025, 104.50, 103.45, 106.00, 103.45, 105.00, 105.00, 105.50, 1042, 1.10, 8, 1020, 97.89
20MICRONS, EQ, 09-Oct-2025, 212.85, 213.45, 217.72, 208.35, 209.60, 209.78, 212.16, 95346, 202.28, 2979, 56274, 59.02
21STCENMGM, EQ, 09-Oct-2025, 48.16, 48.99, 48.99, 47.24, 47.79, 47.79, 48.23, 1853, 0.89, 57, 1646, 88.83
360ONE, EQ, 09-Oct-2025, 1085.30, 1093.80, 1093.80, 1076.50, 1081.70, 1084.40, 1083.22, 283733, 3073.45, 16709, 96221, 33.91
3IINFO-RE, BE, 09-Oct-2025, 1.64, 1.50, 1.60, 1.26, 1.34, 1.33, 1.43, 541648, 7.74, 1704, -, -
3IINFOLTD, EQ, 09-Oct-2025, 19.60, 19.60, 19.70, 19.05, 19.05, 19.12, 19.31, 500113, 96.59, 2165, 342009, 68.39
3MINDIA, EQ, 09-Oct-2025, 29200.00, 29205.00, 29370.00, 28995.00, 29275.00, 29265.00, 29159.95, 1835, 535.09, 1007, 1054, 57.44
3PLAND, EQ, 09-Oct-2025, 43.58, 43.77, 44.75, 43.55, 44.38, 44.46, 44.04, 3689, 1.62, 64, 3523, 95.50
515GS2025, GS, 09-Oct-2025, 100.75, 100.75, 100.75, 100.75, 100.75, 100.75, 100.75, 48, 0.05, 1, 48, 100.00
563GS2026, GS, 09-Oct-2025, 103.00, 103.00, 103.00, 102.18, 103.00, 103.00, 102.86, 6, 0.01, 4, 6, 100.00
574GS2026, GS, 09-Oct-2025, 101.30, 102.35, 102.35, 101.30, 101.30, 101.30, 101.81, 100, 0.10, 4, 2, 2.00
591GS2028, GS, 09-Oct-2025, 101.00, 101.39, 101.39, 101.39, 101.39, 101.39, 101.39, 1000, 1.01, 1, 1000, 100.00
