SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 22-Jun-2023, 101.25, 101.80, 101.80, 95.55, 97.30, 96.90, 98.18, 187040, 183.64, 3975, 100285, 53.62
21STCENMGM, EQ, 22-Jun-2023, 21.65, 22.05, 22.05, 22.05, 22.05, 22.05, 22.05, 1019, 0.22, 9, 1019, 100.00
360ONE, EQ, 22-Jun-2023, 439.95, 443.15, 462.50, 441.15, 452.90, 452.45, 454.10, 600719, 2727.88, 25168, 359962, 59.92
3IINFOLTD, EQ, 22-Jun-2023, 37.10, 37.25, 37.45, 35.90, 35.90, 36.10, 36.49, 608830, 222.18, 4072, 358776, 58.93
3MINDIA, EQ, 22-Jun-2023, 27249.70, 27448.00, 27507.95, 26512.00, 26605.00, 26642.95, 26965.47, 2448, 660.11, 1482, 1170, 47.79
3PLAND, BE, 22-Jun-2023, 20.70, 21.15, 21.20, 20.30, 20.30, 20.30, 20.54, 5173, 1.06, 63, -, -
4THDIM, BE, 22-Jun-2023, 19.70, 19.70, 19.90, 19.30, 19.30, 19.30, 19.43, 316933, 61.58, 373, -, -
515GS2025, GS, 22-Jun-2023, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 5, 0.00, 3, 5, 100.00
563GS2026, GS, 22-Jun-2023, 97.75, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 6, 0.01, 2, 6, 100.00
585GS2030, GS, 22-Jun-2023, 94.25, 91.68, 91.68, 91.68, 91.68, 91.68, 91.68, 100, 0.09, 1, 100, 100.00
5PAISA, EQ, 22-Jun-2023, 366.90, 372.35, 372.35, 355.00, 356.00, 356.85, 359.73, 48023, 172.75, 3945, 24577, 51.18
622GS2035, GS, 22-Jun-2023, 96.50, 92.51, 93.00, 92.51, 93.00, 93.00, 93.00, 112, 0.10, 3, 111, 99.11
63MOONS, EQ, 22-Jun-2023, 168.95, 169.25, 173.65, 167.10, 167.75, 168.10, 170.64, 105115, 179.37, 6057, 43269, 41.16
664GS2035, GS, 22-Jun-2023, 96.25, 96.50, 96.50, 96.50, 96.50, 96.50, 96.50, 1, 0.00, 1, 1, 100.00
667GS2035, GS, 22-Jun-2023, 96.00, 96.00, 96.49, 94.21, 96.00, 95.99, 96.11, 2000, 1.92, 13, 1997, 99.85
667GS2050, GS, 22-Jun-2023, 95.00, 95.00, 97.37, 95.00, 95.00, 95.04, 95.04, 3235, 3.07, 9, 3235, 100.00
669GS2024, GS, 22-Jun-2023, 103.25, 100.67, 103.29, 100.67, 103.29, 103.29, 103.14, 1404, 1.45, 12, 1354, 96.44
