SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 12-Jan-2022, 81.80, 83.90, 86.90, 81.50, 82.70, 83.05, 84.58, 965531, 816.60, 14202, 427850, 44.31
21STCENMGM, EQ, 12-Jan-2022, 48.80, 48.10, 48.95, 47.85, 47.85, 47.85, 48.06, 22786, 10.95, 207, 16277, 71.43
3IINFOLTD, EQ, 12-Jan-2022, 86.25, 85.50, 90.55, 85.45, 86.90, 86.90, 88.83, 4505795, 4002.28, 18773, 1674525, 37.16
3MINDIA, EQ, 12-Jan-2022, 25282.60, 25414.50, 25422.10, 24978.25, 25111.00, 25189.30, 25202.89, 2633, 663.59, 1661, 2119, 80.48
3PLAND, EQ, 12-Jan-2022, 23.90, 25.05, 25.05, 22.75, 25.05, 25.05, 23.77, 258274, 61.40, 1257, 156890, 60.75
5PAISA, EQ, 12-Jan-2022, 422.55, 429.95, 429.95, 415.00, 424.20, 424.50, 422.49, 69221, 292.45, 1988, 31065, 44.88
63MOONS, EQ, 12-Jan-2022, 320.90, 336.90, 336.90, 306.55, 336.90, 336.75, 330.24, 2529155, 8352.33, 29352, 829731, 32.81
667GS2035, GS, 12-Jan-2022, 102.90, 99.25, 99.25, 97.77, 98.00, 98.00, 99.24, 3012, 2.99, 4, 3012, 100.00
667GS2050, GS, 12-Jan-2022, 96.99, 96.99, 97.00, 96.52, 97.00, 97.00, 97.00, 3214, 3.12, 9, 3211, 99.91
676GS2061, GS, 12-Jan-2022, 100.00, 100.00, 101.99, 100.00, 100.00, 100.00, 100.06, 3638, 3.64, 7, 3532, 97.09
695GS2061, GS, 12-Jan-2022, 98.51, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 500, 0.47, 1, 500, 100.00
699GS2051, GS, 12-Jan-2022, 99.20, 99.01, 99.70, 97.00, 97.00, 97.00, 98.93, 1718, 1.70, 10, 1718, 100.00
726GS2029, GS, 12-Jan-2022, 101.01, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 200, 0.20, 1, 200, 100.00
732GS2024, GS, 12-Jan-2022, 100.00, 102.00, 102.00, 102.00, 102.00, 102.00, 102.00, 500, 0.51, 1, 500, 100.00
769GS2043, GS, 12-Jan-2022, 115.50, 109.75, 109.75, 109.74, 109.74, 109.74, 109.74, 489, 0.54, 4, 489, 100.00
772GS2049, GS, 12-Jan-2022, 106.75, 106.80, 106.80, 106.80, 106.80, 106.80, 106.80, 90, 0.10, 2, 90, 100.00
824GS2033, GS, 12-Jan-2022, 115.00, 115.49, 115.49, 115.49, 115.49, 115.49, 115.49, 100, 0.12, 1, 100, 100.00
A2ZINFRA, EQ, 12-Jan-2022, 13.10, 13.75, 13.75, 12.50, 13.75, 13.65, 13.39, 5735135, 768.02, 5683, 3791055, 66.10
AAATECH, SM, 12-Jan-2022, 71.00, 72.00, 73.00, 67.00, 67.00, 67.00, 70.01, 33000, 23.10, 11, 24000, 72.73
AAKASH, EQ, 12-Jan-2022, 253.60, 255.00, 257.30, 247.00, 252.00, 254.10, 253.53, 62528, 158.53, 433, 29204, 46.71
AAREYDRUGS, EQ, 12-Jan-2022, 53.05, 53.00, 54.40, 50.40, 52.40, 51.25, 51.89, 225473, 117.00, 2729, 150870, 66.91
AARON, EQ, 12-Jan-2022, 132.60, 132.60, 134.95, 127.35, 127.55, 129.45, 130.50, 11473, 14.97, 346, 6003, 52.32
AARTIDRUGS, EQ, 12-Jan-2022, 528.95, 532.25, 533.15, 526.50, 526.80, 527.70, 528.85, 71620, 378.77, 4268, 42613, 59.50
AARTIIND, EQ, 12-Jan-2022, 1100.10, 1100.00, 1114.50, 1087.65, 1102.00, 1105.25, 1103.51, 645842, 7126.92, 35602, 205781, 31.86
AARTISURF, EQ, 12-Jan-2022, 1040.40, 1059.00, 1065.00, 1040.15, 1056.00, 1056.45, 1054.65, 9942, 104.85, 1809, 4664, 46.91
AARVEEDEN, EQ, 12-Jan-2022, 30.30, 30.80, 31.30, 29.45, 30.00, 30.10, 30.32, 67197, 20.38, 446, 38739, 57.65
AARVI, EQ, 12-Jan-2022, 92.25, 90.20, 93.90, 90.20, 92.45, 92.70, 92.51, 41812, 38.68, 515, 33136, 79.25
AAVAS, EQ, 12-Jan-2022, 2903.95, 2890.00, 2918.95, 2840.05, 2878.00, 2873.90, 2876.46, 102255, 2941.32, 19853, 55523, 54.30
ABAN, EQ, 12-Jan-2022, 50.40, 50.00, 52.85, 49.95, 51.00, 51.15, 51.40, 123893, 63.68, 1374, 81163, 65.51
ABB, EQ, 12-Jan-2022, 2339.45, 2354.00, 2360.55, 2295.45, 2312.20, 2316.45, 2324.84, 231632, 5385.07, 17791, 144344, 62.32
ABBOTINDIA, EQ, 12-Jan-2022, 18169.40, 18200.00, 18306.65, 17839.00, 17880.30, 17888.20, 17949.11, 29172, 5236.11, 8414, 17807, 61.04
