SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,15-JUN-2020,28.05,28.05,30.8,27.6,30.35,30.15,0,115420,3414235.2,0,0,0
21STCENMGM,EQ,15-JUN-2020,10.65,10.85,10.85,10.45,10.7,10.5,0,4420,46604.1,0,0,0
3IINFOTECH,EQ,15-JUN-2020,2.25,2.25,2.35,2.15,2.35,2.35,0,7829425,17345200.3,0,0,0
3MINDIA,EQ,15-JUN-2020,17404.4,17594,17594,17100,17178.65,17199.55,0,5573,96660451.3,0,0,0
3PLAND,EQ,15-JUN-2020,5.6,5.6,5.6,5.6,5.6,5.6,0,10,56,0,0,0
509GS2022,GS,15-JUN-2020,99,99,99,99,99,99,0,2,198,0,0,0
5PAISA,EQ,15-JUN-2020,163.9,164,169,160,167.6,165.15,0,25682,4297925.1,0,0,0
63MOONS,EQ,15-JUN-2020,84.85,88.4,89.05,86,89.05,89.05,0,107240,9442835.1,0,0,0
706GS2046,GS,15-JUN-2020,102.63,99,99,99,99,99,0,50,4950,0,0,0
732GS2024,GS,15-JUN-2020,102,102,102,102,102,102,0,100,10200,0,0,0
795GS2032,GS,15-JUN-2020,117.6,117.75,117.75,117.75,117.75,117.75,0,1,117.75,0,0,0
A2ZINFRA,EQ,15-JUN-2020,4.4,4.55,4.55,4.4,4.5,4.5,0,187662,836024.8,0,0,0
AARTIDRUGS,EQ,15-JUN-2020,974.95,982,999.9,970,973.6,974.55,0,126035,124391112.25,0,0,0
AARTIIND,EQ,15-JUN-2020,918,905,918,850.3,878.9,869.45,0,5093872,4397499323.8,0,0,0
AARVEEDEN,EQ,15-JUN-2020,11.4,12.25,12.25,10.4,10.85,11.05,0,10802,121427.55,0,0,0
AAVAS,EQ,15-JUN-2020,1274.6,1286,1325,1250,1283,1277.7,0,33599,43116418.8,0,0,0
ABAN,EQ,15-JUN-2020,22.95,23.6,23.6,22.4,23.2,23.2,0,68759,1600242.7,0,0,0
ABB,EQ,15-JUN-2020,807.4,813.4,822.55,801.95,804.95,806.1,0,66773,54094478.5,0,0,0
ABBOTINDIA,EQ,15-JUN-2020,16083.6,16100,16270,15950,16035,16093.1,0,13199,212476302.9,0,0,0
ABCAPITAL,EQ,15-JUN-2020,54.3,54.8,55.75,53.4,54.4,54.75,0,2589775,141463302.55,0,0,0
ABFRL,EQ,15-JUN-2020,139.35,139.4,148.6,137.9,139.3,139.65,0,7103279,1020980048.2,0,0,0
ABMINTLTD,BE,15-JUN-2020,13,12.35,12.4,12.35,12.4,12.4,0,68,839.85,0,0,0
ABSLBANETF,EQ,15-JUN-2020,202.88,200,202.7,195.01,196,196,0,443,87299.94,0,0,0
ABSLNN50ET,EQ,15-JUN-2020,251.47,237.9,263.88,237.9,247.57,251.03,0,559,141148.28,0,0,0
ABSLRIF6RG,MF,15-JUN-2020,5.5,5.43,5.43,5.43,5.43,5.43,0,3000,16290,0,0,0
ACC,EQ,15-JUN-2020,1268.8,1263.5,1270,1241.5,1249.6,1250.9,0,740591,927796049.4,0,0,0
ACCELYA,EQ,15-JUN-2020,952.2,951,956.95,941.15,947.75,944.9,0,2436,2309097.1,0,0,0
ACCURACY,SM,15-JUN-2020,24,24,25,24,25,25,0,3200,78400,0,0,0
ACE,EQ,15-JUN-2020,54.65,54,58.4,51.8,54.2,55.2,0,1470152,82068985.05,0,0,0
ADANIENT,EQ,15-JUN-2020,152.3,151.8,156.85,148.25,149.1,149.25,0,3214996,489307940.35,0,0,0
ADANIGAS,EQ,15-JUN-2020,132.45,133.35,139.9,132.7,137.3,136.95,0,2814244,384839668.5,0,0,0
ADANIGREEN,EQ,15-JUN-2020,336.4,344.85,351,338,351,346.15,0,2701757,924774674.1,0,0,0
ADANIPORTS,EQ,15-JUN-2020,345.3,346.5,346.85,336.85,340,339.75,0,2474153,844267372.45,0,0,0
ADANIPOWER,EQ,15-JUN-2020,38,37.9,38.8,37.3,37.45,37.5,0,10878874,412267554.35,0,0,0
ADANITRANS,EQ,15-JUN-2020,202.75,206,211.2,202.8,210.65,209.75,0,1765003,367475004.9,0,0,0
ADFFOODS,EQ,15-JUN-2020,294,300,300,282.2,286,284.9,0,28793,8308300.5,0,0,0
ADHUNIKIND,EQ,15-JUN-2020,18.8,18.9,19.95,18.8,19.2,19.35,0,32915,638671.65,0,0,0
ADORWELD,EQ,15-JUN-2020,250.2,250.35,252.95,245,247,248.7,0,5060,1255895,0,0,0
ADROITINFO,EQ,15-JUN-2020,6.6,7.1,7.1,6.3,6.9,7,0,30324,206322,0,0,0
ADSL,EQ,15-JUN-2020,19.45,20.3,20.35,18.5,18.5,18.5,0,91688,1741954.85,0,0,0
ADVANIHOTR,EQ,15-JUN-2020,50.55,48.1,48.1,48.05,48.05,48.05,0,4781,229809.05,0,0,0
ADVENZYMES,EQ,15-JUN-2020,170.65,172.7,174,162.2,164.5,164.75,0,141361,23587987.05,0,0,0
AEGISCHEM,EQ,15-JUN-2020,181.9,182.95,185,178,179.7,179.35,0,110243,19957485.4,0,0,0
AFFLE,EQ,15-JUN-2020,1464.1,1466,1516,1466,1500,1503.65,0,56683,84886712,0,0,0
AGARIND,EQ,15-JUN-2020,67.15,69,72,67.05,70.65,70.95,0,33294,2302665.4,0,0,0
AGCNET,EQ,15-JUN-2020,307.9,309.9,317.9,302,306.5,305.8,0,3500,1086281.1,0,0,0
AGRITECH,BE,15-JUN-2020,36,37.5,37.5,34.3,36.15,37.3,0,8870,324751.2,0,0,0
AGROPHOS,EQ,15-JUN-2020,15.05,15.5,15.8,15,15.7,15.35,0,161233,2503480.2,0,0,0
AHLADA,SM,15-JUN-2020,44.05,46.15,46.15,46.15,46.15,46.15,0,1000,46150,0,0,0
AHLEAST,EQ,15-JUN-2020,142.3,149.95,149.95,134.05,141.75,138,0,3777,534523.95,0,0,0
AHLUCONT,EQ,15-JUN-2020,188.85,187.9,192,182.2,186.35,186.2,0,4269,794700.55,0,0,0
AHLWEST,EQ,15-JUN-2020,267.1,255.7,264.95,255.7,263.3,260.95,0,321,82587.55,0,0,0
AIAENG,EQ,15-JUN-2020,1646.45,1634,1653.95,1566.05,1574,1589.95,0,39452,63800064.1,0,0,0
AIONJSW,EQ,15-JUN-2020,14.3,14.85,15,13.75,14.95,14.95,0,123176,1833695.4,0,0,0
AIRAN,EQ,15-JUN-2020,17.7,16.5,17.8,15.95,16.75,16.7,0,476130,7890952.25,0,0,0
AISL,SM,15-JUN-2020,18.05,18.95,18.95,18.95,18.95,18.95,0,1200,22740,0,0,0
AJANTPHARM,EQ,15-JUN-2020,1458,1462,1490.85,1406,1414,1420.45,0,255800,369338992.1,0,0,0
AJMERA,EQ,15-JUN-2020,84.2,83.75,86.7,82.55,83,83.4,0,49073,4136758.6,0,0,0
AKASH,BE,15-JUN-2020,92,92,93,87.4,90,89.6,0,3352,302275.35,0,0,0
AKSHARCHEM,EQ,15-JUN-2020,199.85,198.35,205.05,197,200,200.85,0,13634,2745580.85,0,0,0
AKSHOPTFBR,EQ,15-JUN-2020,6.75,6.95,6.95,6.55,6.7,6.75,0,553887,3751638.6,0,0,0
AKZOINDIA,EQ,15-JUN-2020,1879.05,1899,1899,1825,1833,1829.2,0,5004,9205087.2,0,0,0
ALANKIT,EQ,15-JUN-2020,14.9,14.9,15.35,14.5,14.75,14.7,0,61806,919598.8,0,0,0
ALBERTDAVD,EQ,15-JUN-2020,517.75,519.9,529.85,509.25,517,513.6,0,16777,8660770.65,0,0,0
ALCHEM,BE,15-JUN-2020,7.25,7.15,7.2,6.9,6.9,6.9,0,234667,1651880,0,0,0
ALEMBICLTD,EQ,15-JUN-2020,64.55,64.55,77.45,64.2,77.45,77.25,0,8951979,650996469.45,0,0,0
ALICON,EQ,15-JUN-2020,232.25,234.25,243.95,228.3,230.5,230.45,0,2501,581867.75,0,0,0
ALKALI,EQ,15-JUN-2020,43.9,44,45.4,42,42.5,42.4,0,23337,996222.45,0,0,0
