SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 05-Dec-2025, 189.92, 190.11, 191.00, 184.90, 190.00, 188.66, 186.96, 72146, 134.88, 2502, 40550, 56.21
21STCENMGM, EQ, 05-Dec-2025, 41.39, 42.21, 42.21, 42.21, 42.21, 42.21, 42.21, 9961, 4.20, 52, 9916, 99.55
360ONE, EQ, 05-Dec-2025, 1127.90, 1125.10, 1156.60, 1114.10, 1146.10, 1146.70, 1138.11, 476537, 5423.53, 32050, 206605, 43.36
3IINFOLTD, EQ, 05-Dec-2025, 16.70, 16.70, 16.90, 16.55, 16.70, 16.65, 16.70, 279747, 46.71, 1279, 172477, 61.65
3MINDIA, EQ, 05-Dec-2025, 34750.00, 34770.00, 34970.00, 33490.00, 34130.00, 34125.00, 34261.16, 1840, 630.41, 1181, 883, 47.99
3PLAND, EQ, 05-Dec-2025, 39.24, 39.00, 40.20, 38.08, 39.45, 39.10, 39.29, 930, 0.37, 90, 711, 76.45
5PAISA, EQ, 05-Dec-2025, 317.15, 317.00, 319.40, 309.60, 319.25, 314.45, 312.56, 46903, 146.60, 3482, 18214, 38.83
633GS2035, GS, 05-Dec-2025, 97.90, 99.50, 99.50, 99.50, 99.50, 99.50, 99.50, 110, 0.11, 1, 110, 100.00
63MOONS, EQ, 05-Dec-2025, 819.20, 816.55, 824.90, 801.50, 805.90, 807.05, 812.71, 120357, 978.16, 7686, 37945, 31.53
667GS2050, GS, 05-Dec-2025, 96.00, 97.00, 97.00, 96.00, 96.00, 96.00, 96.94, 1266, 1.23, 5, 1266, 100.00
668GS2040, GS, 05-Dec-2025, 99.70, 99.80, 99.80, 99.80, 99.80, 99.80, 99.80, 200, 0.20, 1, 200, 100.00
676GS2061, GS, 05-Dec-2025, 94.49, 95.00, 95.35, 94.00, 95.26, 95.26, 95.29, 19374, 18.46, 7, 19362, 99.94
679GS2034, GS, 05-Dec-2025, 101.75, 101.20, 101.70, 101.20, 101.70, 101.70, 101.25, 1100, 1.11, 2, 1100, 100.00
679GS2034A, GS, 05-Dec-2025, 99.43, 99.48, 99.48, 95.00, 95.00, 95.00, 98.36, 4, 0.00, 2, 4, 100.00
68GS2060, GS, 05-Dec-2025, 96.15, 96.25, 96.25, 94.01, 96.20, 96.20, 96.19, 142, 0.14, 5, 142, 100.00
690GS2065, GS, 05-Dec-2025, 94.62, 95.19, 95.45, 94.71, 95.39, 95.32, 95.05, 46893, 44.57, 40, 32432, 69.16
695GS2061, GS, 05-Dec-2025, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 1, 0.00, 1, 1, 100.00
698GR2054, GS, 05-Dec-2025, 97.00, 97.01, 97.20, 97.01, 97.20, 97.20, 97.03, 1100, 1.07, 2, 1000, 90.91
699GS2051, GS, 05-Dec-2025, 101.30, 99.95, 99.95, 99.95, 99.95, 99.95, 99.95, 1, 0.00, 1, 1, 100.00
702GS2027, GS, 05-Dec-2025, 101.40, 101.10, 101.50, 100.83, 101.00, 101.00, 101.10, 1598, 1.62, 6, 1200, 75.09
704GS2029, GS, 05-Dec-2025, 103.10, 103.35, 103.35, 102.80, 102.80, 103.33, 103.34, 714, 0.74, 2, 714, 100.00
706GS2028, GS, 05-Dec-2025, 103.05, 103.05, 103.05, 103.05, 103.05, 103.05, 103.05, 250, 0.26, 1, 250, 100.00
709GS2054, GS, 05-Dec-2025, 100.25, 100.50, 100.50, 100.50, 100.50, 100.50, 100.50, 1000, 1.01, 1, 1000, 100.00
709GS2074, GS, 05-Dec-2025, 95.57, 96.00, 96.29, 95.70, 96.19, 96.16, 95.91, 279023, 267.61, 114, 278393, 99.77
710GS2029, GS, 05-Dec-2025, 103.85, 106.85, 106.85, 103.22, 103.32, 103.32, 103.33, 903, 0.93, 4, 902, 99.89
717GS2030, GS, 05-Dec-2025, 104.70, 103.85, 103.85, 103.85, 103.85, 103.85, 103.85, 500, 0.52, 1, 500, 100.00
718GS2037, GS, 05-Dec-2025, 105.85, 104.61, 107.29, 104.61, 105.78, 105.78, 105.76, 22101, 23.37, 6, 22050, 99.77
723GS2039, GS, 05-Dec-2025, 102.50, 102.55, 102.55, 102.55, 102.55, 102.55, 102.55, 100, 0.10, 1, 100, 100.00
724GS2055, GS, 05-Dec-2025, 101.66, 101.65, 102.00, 101.65, 102.00, 102.00, 101.91, 8100, 8.25, 6, 8100, 100.00
725GS2063, GS, 05-Dec-2025, 101.65, 102.50, 102.50, 102.01, 102.20, 102.20, 102.14, 11112, 11.35, 16, 10611, 95.49
726GS2032, GS, 05-Dec-2025, 105.41, 105.50, 105.50, 105.40, 105.40, 105.40, 105.40, 1300, 1.37, 6, 1300, 100.00
734GS2064, GS, 05-Dec-2025, 99.64, 99.90, 100.49, 99.75, 100.48, 100.34, 99.98, 203668, 203.62, 76, 197948, 97.19
737GS2028, GS, 05-Dec-2025, 103.71, 103.76, 104.20, 103.76, 104.00, 104.00, 104.14, 4800, 5.00, 6, 4800, 100.00
738GS2027, GS, 05-Dec-2025, 105.72, 105.62, 105.82, 105.62, 105.82, 105.75, 105.72, 69892, 73.89, 18, 69892, 100.00
73GS2053, GS, 05-Dec-2025, 103.20, 103.60, 103.60, 103.60, 103.60, 103.60, 103.60, 1500, 1.55, 2, 1500, 100.00
740IIFCL33, N1, 05-Dec-2025, 1157.00, 1165.00, 1165.00, 1165.00, 1165.00, 1165.00, 1165.00, 5, 0.06, 1, 5, 100.00
741GS2036, GS, 05-Dec-2025, 107.90, 108.00, 109.00, 107.51, 109.00, 109.00, 108.07, 67555, 73.01, 10, 62555, 92.60
746GS2073, GS, 05-Dec-2025, 101.16, 101.80, 101.80, 100.56, 101.10, 100.74, 100.63, 10288, 10.35, 13, 10288, 100.00
74GS2062, GS, 05-Dec-2025, 101.20, 102.10, 102.10, 100.50, 102.10, 102.10, 101.03, 6, 0.01, 3, 5, 83.33
754GS2036, GS, 05-Dec-2025, 106.33, 106.11, 106.55, 106.11, 106.37, 106.49, 106.44, 448733, 477.63, 135, 421183, 93.86
772GS2055, GS, 05-Dec-2025, 108.00, 109.00, 109.00, 109.00, 109.00, 109.00, 109.00, 276, 0.30, 2, 276, 100.00
795GS2032, GS, 05-Dec-2025, 109.80, 107.05, 107.05, 107.05, 107.05, 107.05, 107.05, 1, 0.00, 1, 1, 100.00
824GS2027, GS, 05-Dec-2025, 104.36, 104.35, 104.50, 104.00, 104.00, 104.00, 104.13, 5698, 5.93, 5, 5698, 100.00
828GS2027, GS, 05-Dec-2025, 110.00, 104.53, 106.00, 104.53, 105.95, 105.95, 104.61, 3390, 3.55, 5, 3189, 94.07
897GS2030, GS, 05-Dec-2025, 111.75, 111.75, 111.80, 111.75, 111.80, 111.80, 111.78, 2750, 3.07, 2, 2750, 100.00
92GS2030, GS, 05-Dec-2025, 114.04, 113.50, 115.80, 113.50, 114.65, 114.65, 114.70, 1211, 1.39, 7, 1211, 100.00
A2ZINFRA, EQ, 05-Dec-2025, 15.13, 15.30, 16.29, 14.93, 16.07, 16.04, 15.69, 256718, 40.27, 599, 177548, 69.16
AAATECH, BE, 05-Dec-2025, 95.21, 99.95, 99.95, 93.50, 97.00, 96.83, 96.75, 40205, 38.90, 426, -, -
AADHARHFC, EQ, 05-Dec-2025, 481.35, 480.75, 482.95, 480.20, 481.00, 481.40, 481.10, 158348, 761.82, 5498, 104725, 66.14
AAKAAR, SM, 05-Dec-2025, 74.90, 73.50, 75.50, 72.25, 75.50, 75.50, 74.08, 9600, 7.11, 3, 9600, 100.00
AAKASH, EQ, 05-Dec-2025, 8.74, 8.80, 10.19, 8.78, 8.81, 8.86, 9.18, 570658, 52.36, 1463, 200884, 35.20
AARADHYA, ST, 05-Dec-2025, 128.65, 125.00, 125.00, 123.10, 123.10, 123.10, 124.47, 12000, 14.94, 5, 12000, 100.00
AAREYDRUGS, BE, 05-Dec-2025, 78.83, 76.89, 76.89, 74.88, 74.88, 75.62, 75.61, 51612, 39.03, 184, -, -
AARON, EQ, 05-Dec-2025, 185.02, 185.02, 187.99, 179.00, 180.40, 180.30, 181.61, 11669, 21.19, 615, 8297, 71.10
AARTECH, EQ, 05-Dec-2025, 50.59, 51.00, 51.39, 49.75, 50.13, 50.24, 50.74, 13001, 6.60, 453, 5668, 43.60
AARTIDRUGS, EQ, 05-Dec-2025, 407.85, 410.00, 410.00, 398.50, 405.00, 405.00, 403.09, 151643, 611.26, 4996, 86251, 56.88
AARTIIND, EQ, 05-Dec-2025, 369.65, 370.00, 371.95, 362.00, 363.00, 363.05, 366.21, 511583, 1873.46, 20132, 285038, 55.72
AARTIPHARM, EQ, 05-Dec-2025, 723.45, 724.00, 730.00, 717.20, 720.50, 721.55, 724.01, 143818, 1041.25, 11354, 75787, 52.70
AARTISURF, EQ, 05-Dec-2025, 408.00, 408.00, 417.00, 401.70, 402.00, 402.05, 405.31, 8011, 32.47, 774, 6185, 77.21
AARVI, EQ, 05-Dec-2025, 124.30, 124.30, 124.74, 122.97, 124.10, 124.09, 123.78, 5197, 6.43, 289, 2644, 50.88
AATMAJ, SM, 05-Dec-2025, 19.50, 19.40, 20.00, 19.40, 20.00, 20.00, 19.70, 4000, 0.79, 2, 2000, 50.00
AAVAS, EQ, 05-Dec-2025, 1482.10, 1486.50, 1510.00, 1450.00, 1497.90, 1497.10, 1481.73, 526959, 7808.11, 35365, 339072, 64.35
ABAN, BE, 05-Dec-2025, 33.37, 33.09, 33.50, 32.12, 32.45, 32.46, 32.50, 53043, 17.24, 408, -, -
ABB, EQ, 05-Dec-2025, 5172.50, 5172.50, 5194.00, 5140.50, 5180.00, 5173.50, 5167.44, 99564, 5144.91, 16730, 53066, 53.30
ABBOTINDIA, EQ, 05-Dec-2025, 28850.00, 28850.00, 29140.00, 28660.00, 28925.00, 28945.00, 28940.36, 8644, 2501.60, 4939, 4941, 57.16
