SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 01-Mar-2023, 67.30, 67.15, 71.10, 67.05, 70.50, 70.05, 69.29, 173268, 120.06, 1334, 136035, 78.51
21STCENMGM, EQ, 01-Mar-2023, 17.35, 17.50, 17.50, 17.00, 17.00, 17.00, 17.04, 8306, 1.42, 73, 7124, 85.77
360ONE, EQ, 01-Mar-2023, 1723.45, 1730.45, 1779.00, 1700.05, 1774.00, 1773.30, 1747.10, 67272, 1175.31, 9362, 37629, 55.94
3IINFOLTD, EQ, 01-Mar-2023, 32.05, 32.00, 34.00, 32.00, 33.35, 33.30, 33.33, 477616, 159.19, 3268, 217258, 45.49
3MINDIA, EQ, 01-Mar-2023, 22888.85, 22750.00, 22888.70, 22403.55, 22600.00, 22655.90, 22610.78, 2988, 675.61, 1537, 426, 14.26
3PLAND, EQ, 01-Mar-2023, 22.95, 23.40, 23.85, 21.80, 21.90, 21.90, 22.58, 19251, 4.35, 340, 14523, 75.44
456GS2023, GS, 01-Mar-2023, 98.15, 99.25, 99.25, 99.25, 99.25, 99.25, 99.25, 3398, 3.37, 1, 3398, 100.00
4THDIM, BE, 01-Mar-2023, 37.55, 38.20, 38.20, 37.80, 37.90, 37.85, 37.90, 298688, 113.20, 846, -, -
522GS2025, GS, 01-Mar-2023, 96.75, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 900, 0.86, 1, 900, 100.00
5PAISA, EQ, 01-Mar-2023, 274.35, 277.00, 278.90, 272.05, 278.90, 277.35, 274.60, 217770, 597.99, 849, 209472, 96.19
610GS2031, GS, 01-Mar-2023, 97.65, 95.00, 95.00, 92.78, 92.78, 92.78, 95.00, 502, 0.48, 3, 501, 99.80
618GS2024, GS, 01-Mar-2023, 101.50, 98.00, 98.11, 98.00, 98.10, 98.10, 98.10, 10000, 9.81, 3, 10000, 100.00
63MOONS, EQ, 01-Mar-2023, 204.45, 204.00, 206.40, 199.25, 201.05, 201.65, 202.29, 405621, 820.51, 8528, 70390, 17.35
654GS2032, GS, 01-Mar-2023, 94.00, 96.00, 96.00, 96.00, 96.00, 96.00, 96.00, 2900, 2.78, 3, 2900, 100.00
664GS2035, GS, 01-Mar-2023, 99.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 1000, 0.95, 1, 1000, 100.00
667GS2035, GS, 01-Mar-2023, 96.15, 96.15, 96.15, 96.15, 96.15, 96.15, 96.15, 10, 0.01, 1, 10, 100.00
667GS2050, GS, 01-Mar-2023, 96.05, 95.70, 95.70, 95.70, 95.70, 95.70, 95.70, 1, 0.00, 1, 1, 100.00
669GS2024, GS, 01-Mar-2023, 98.75, 100.80, 100.80, 100.50, 100.50, 100.50, 100.65, 2431, 2.45, 9, 2431, 100.00
676GS2061, GS, 01-Mar-2023, 95.30, 95.15, 95.15, 95.15, 95.15, 95.15, 95.15, 150, 0.14, 1, 150, 100.00
689GS2025, GS, 01-Mar-2023, 100.25, 100.60, 100.60, 100.60, 100.60, 100.60, 100.60, 1000, 1.01, 1, 1000, 100.00
695GS2061, GS, 01-Mar-2023, 95.00, 96.00, 96.00, 95.00, 95.00, 95.00, 95.92, 1100, 1.06, 4, 1040, 94.55
699GS2051, GS, 01-Mar-2023, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 1, 0.00, 1, 1, 100.00
710GS2029, GS, 01-Mar-2023, 101.00, 101.00, 101.30, 101.00, 101.00, 101.00, 101.01, 4100, 4.14, 7, 4100, 100.00
719GS2060, GS, 01-Mar-2023, 105.00, 105.55, 105.55, 105.55, 105.55, 105.55, 105.55, 100, 0.11, 1, 100, 100.00
726GS2032, GS, 01-Mar-2023, 99.90, 99.70, 99.90, 99.70, 99.90, 99.90, 99.71, 19809, 19.75, 13, 19809, 100.00
726GS2033, GS, 01-Mar-2023, 99.45, 99.70, 99.70, 99.40, 99.40, 99.40, 99.56, 28150, 28.03, 7, 15150, 53.82
732GS2024, GS, 01-Mar-2023, 102.25, 103.25, 103.25, 103.25, 103.25, 103.25, 103.25, 1000, 1.03, 1, 1000, 100.00
736GS2052, GS, 01-Mar-2023, 102.20, 102.30, 102.30, 102.30, 102.30, 102.30, 102.30, 900, 0.92, 2, 900, 100.00
738GS2027, GS, 01-Mar-2023, 102.17, 102.00, 102.00, 101.50, 101.53, 101.53, 101.56, 29823, 30.29, 22, 29823, 100.00
741GS2036, GS, 01-Mar-2023, 100.00, 101.00, 101.50, 101.00, 101.50, 101.47, 101.22, 1900, 1.92, 4, 1900, 100.00
74GS2062, GS, 01-Mar-2023, 104.75, 104.39, 104.39, 104.39, 104.39, 104.39, 104.39, 438, 0.46, 2, 438, 100.00
754GS2036, GS, 01-Mar-2023, 102.79, 102.80, 103.00, 102.65, 102.97, 102.85, 102.80, 132285, 135.99, 167, 131247, 99.22
759GS2026, GS, 01-Mar-2023, 101.05, 101.05, 101.05, 101.05, 101.05, 101.05, 101.05, 100, 0.10, 1, 100, 100.00
768GS2023, GS, 01-Mar-2023, 102.25, 102.00, 102.25, 101.68, 102.25, 102.25, 101.68, 403500, 410.30, 10, 400000, 99.13
772GS2025, GS, 01-Mar-2023, 100.69, 102.95, 102.95, 102.95, 102.95, 102.95, 102.95, 50000, 51.48, 1, 50000, 100.00
795GS2032, GS, 01-Mar-2023, 109.10, 109.50, 109.50, 109.50, 109.50, 109.50, 109.50, 1, 0.00, 1, 1, 100.00
813GS2045, GS, 01-Mar-2023, 105.30, 108.75, 108.75, 108.75, 108.75, 108.75, 108.75, 50, 0.05, 1, 50, 100.00
824GS2027, GS, 01-Mar-2023, 116.49, 122.31, 122.31, 122.31, 122.31, 122.31, 122.31, 1, 0.00, 1, 1, 100.00
897GS2030, GS, 01-Mar-2023, 115.00, 115.00, 115.00, 115.00, 115.00, 115.00, 115.00, 10, 0.01, 1, 10, 100.00
92GS2030, GS, 01-Mar-2023, 114.25, 114.10, 114.10, 114.10, 114.10, 114.10, 114.10, 50, 0.06, 1, 50, 100.00
