SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,24-APR-2017,43.8,43.8,49.4,43.8,47.15,47,0,1078221,51086147.3,0,0,0
3IINFOTECH,EQ,24-APR-2017,5.7,5.65,5.8,5.55,5.6,5.55,0,2008270,11394966.25,0,0,0
3MINDIA,EQ,24-APR-2017,11685.25,11782,11782,11400,11560,11553.25,0,960,11114401.95,0,0,0
63MOONS,EQ,24-APR-2017,77.7,77.3,79.4,77.3,78.25,78.2,0,76870,6019587.65,0,0,0
8KMILES,EQ,24-APR-2017,573.3,577.75,578,559,560,562.7,0,30546,17311127.85,0,0,0
A2ZINFRA,EQ,24-APR-2017,46.85,47.15,49.6,47,49,49,0,1433321,69720456.05,0,0,0
AARTIDRUGS,EQ,24-APR-2017,586.85,600,600,581.1,583.55,586.55,0,6640,3922532.25,0,0,0
AARTIIND,EQ,24-APR-2017,800.9,803.9,807,790.1,797.05,798.4,0,25916,20761270.65,0,0,0
AARVEEDEN,EQ,24-APR-2017,72.3,71.6,77,70.5,74,75.3,0,48967,3633920.4,0,0,0
ABAN,EQ,24-APR-2017,227.3,227.5,228,225.15,226.55,226.7,0,410102,92947375.2,0,0,0
ABB,EQ,24-APR-2017,1400.6,1401,1420,1392.25,1394,1399.65,0,29924,41947098.85,0,0,0
ABBOTINDIA,EQ,24-APR-2017,4582.9,4580,4639.55,4445,4445.05,4462.8,0,43516,197261256.05,0,0,0
ABFRL,EQ,24-APR-2017,179.95,179,179,176.2,176.55,176.95,0,258649,45876947.5,0,0,0
ABGSHIP,BZ,24-APR-2017,20.75,21.25,21.25,20.5,20.9,20.8,0,20541,428223.25,0,0,0
ABIRLANUVO,EQ,24-APR-2017,1631.95,1631.95,1706.55,1630,1697,1697.15,0,741812,1254975616.15,0,0,0
ABMINTLTD,BE,24-APR-2017,113.9,119.55,119.55,119.55,119.55,119.55,0,79,9444.45,0,0,0
ACC,EQ,24-APR-2017,1495.45,1518,1615.6,1513.55,1608,1607,0,2098030,3326465257.5,0,0,0
ACCELYA,EQ,24-APR-2017,1521.85,1521,1540,1508,1518,1516,0,2229,3383648.05,0,0,0
ACE,EQ,24-APR-2017,64,64.5,67.3,64.1,66.85,66.55,0,378250,24947627.35,0,0,0
ADANIENT,EQ,24-APR-2017,145.95,145.9,159.15,145,149.7,150.05,0,17018361,2617297728.95,0,0,0
ADANIPORTS,EQ,24-APR-2017,326,328.15,334.2,327.25,332.15,331,0,5048373,1675012682.95,0,0,0
ADANIPOWER,EQ,24-APR-2017,32.7,32.7,33.6,32.7,33.2,33.25,0,10703618,356112276.95,0,0,0
ADANITRANS,EQ,24-APR-2017,85.1,85.85,88,85.1,86,85.65,0,928606,80262736.45,0,0,0
ADFFOODS,EQ,24-APR-2017,208.65,209.6,221.1,208.5,220.75,219.45,0,523278,113137874.8,0,0,0
ADHUNIK,EQ,24-APR-2017,7.2,7.15,7.6,7.1,7.1,7.15,0,150331,1094857.05,0,0,0
ADHUNIKIND,EQ,24-APR-2017,113,111.05,114.5,111,114.4,113.85,0,37741,4263204.2,0,0,0
ADLABS,EQ,24-APR-2017,84.25,84.5,85.5,83.05,83.9,83.75,0,403851,34077214.8,0,0,0
ADORWELD,EQ,24-APR-2017,316,315.05,328.95,315.05,327.85,327.4,0,7693,2506192.35,0,0,0
ADSL,BE,24-APR-2017,31.05,30.55,31.5,30.45,30.95,30.65,0,33548,1030243.9,0,0,0
ADVANIHOTR,EQ,24-APR-2017,63.35,63.05,65.6,63.05,64,63.7,0,22069,1417153.35,0,0,0
ADVENZYMES,EQ,24-APR-2017,2179,2200,2224.9,2181.15,2184.05,2197.6,0,105392,232357667.65,0,0,0
AEGISCHEM,EQ,24-APR-2017,187.6,188.15,200.8,186.5,193,194.5,0,1426426,274572759.2,0,0,0
AFL,EQ,24-APR-2017,68.95,69.4,69.45,68.1,68.9,68.85,0,18725,1292527.85,0,0,0
AGARIND,BE,24-APR-2017,732,725,740,725,725,728.05,0,2465,1803847.15,0,0,0
AGCNET,EQ,24-APR-2017,100,102,103.4,99.35,100,100,0,6936,696531.1,0,0,0
AGRITECH,EQ,24-APR-2017,57.15,60,60,59,60,60,0,29733,1781643.65,0,0,0
AGROPHOS,SM,24-APR-2017,22.7,22.2,22.4,22.2,22.25,22.25,0,18000,401100,0,0,0
AHLEAST,EQ,24-APR-2017,272.95,282,295,282,287,287.2,0,6804,1952016.6,0,0,0
AHLUCONT,EQ,24-APR-2017,358.6,353,363,353,358.5,361.75,0,9236,3325095,0,0,0
AHLWEST,EQ,24-APR-2017,226.85,225,231.95,225,230,229.85,0,418,95527.8,0,0,0
AIAENG,EQ,24-APR-2017,1521.6,1521.05,1552.9,1521.05,1530.05,1539.65,0,16445,25366536,0,0,0
AICHAMP,BE,24-APR-2017,32.55,34,34,30.95,30.95,30.95,0,1574,48744.6,0,0,0
AIFL,EQ,24-APR-2017,401.7,402,414,402,411.4,411.4,0,112799,46155007.6,0,0,0
AIRAN,SM,24-APR-2017,65.75,65.5,66.9,65.5,66,66,0,12000,793200,0,0,0
AJANTPHARM,EQ,24-APR-2017,1720.5,1716.1,1731.4,1634,1659.8,1649.85,0,199475,333289125.35,0,0,0
AJMERA,EQ,24-APR-2017,227.75,228.35,233.9,223.2,225,224.45,0,158048,35931214.6,0,0,0
AKSHARCHEM,EQ,24-APR-2017,826.4,820,852.2,820,849,847.1,0,15299,12900518.4,0,0,0
AKSHOPTFBR,EQ,24-APR-2017,23.9,24.2,24.6,24,24.05,24.1,0,1374958,33297357.15,0,0,0
AKZOINDIA,EQ,24-APR-2017,1927.85,1949.95,2060.95,1925,2050,2024.8,0,33364,66890257.15,0,0,0
ALANKIT,EQ,24-APR-2017,22.7,22.9,22.9,22.6,22.6,22.65,0,123662,2810112.15,0,0,0
ALBERTDAVD,EQ,24-APR-2017,333.35,334.95,335,318,327.2,325.75,0,7160,2326059.4,0,0,0
ALBK,EQ,24-APR-2017,73.25,73.7,74.9,72.75,74.65,74.7,0,2543513,188226618,0,0,0
ALCHEM,EQ,24-APR-2017,22.5,22.65,22.75,21.35,21.7,21.65,0,161529,3526168.45,0,0,0
ALEMBICLTD,EQ,24-APR-2017,48.7,49,51.7,49,50.75,50.85,0,4248963,215172555.45,0,0,0
ALICON,EQ,24-APR-2017,462.5,462.15,462.15,444.65,448.2,447.55,0,24961,11251847.3,0,0,0
ALKALI,EQ,24-APR-2017,83.75,84,88.25,84,86.25,85.95,0,104462,9081144.7,0,0,0
ALKEM,EQ,24-APR-2017,2068.3,2088,2088,1999,2020,2021.7,0,31358,64194044.35,0,0,0
ALKYLAMINE,EQ,24-APR-2017,495.9,495.9,507.7,493.6,497.9,495.05,0,10892,5461201.85,0,0,0
ALLCARGO,EQ,24-APR-2017,175.8,176,179.4,174.4,176.2,176.45,0,262914,46526862.8,0,0,0
ALLSEC,EQ,24-APR-2017,392,391.3,399,384,395,392,0,11761,4591765.05,0,0,0
ALMONDZ,EQ,24-APR-2017,16.5,17.6,19.8,17,18.65,18.65,0,204920,3941883.25,0,0,0
ALOKTEXT,EQ,24-APR-2017,3.1,3.1,3.2,3.1,3.15,3.15,0,3429969,10806066,0,0,0
ALPA,BE,24-APR-2017,47.4,47.6,48,46.5,46.95,47.2,0,18662,889025.25,0,0,0
ALPHAGEO,EQ,24-APR-2017,1005.3,1016,1078,1012,1065,1067.4,0,93228,97517510.7,0,0,0
ALPSINDUS,EQ,24-APR-2017,8.35,8.4,8.7,8.1,8.2,8.2,0,209346,1736395.85,0,0,0
AMARAJABAT,EQ,24-APR-2017,874.75,874.9,880,864.05,877,875.55,0,362706,316554652,0,0,0
AMBIKCO,EQ,24-APR-2017,1360.85,1360,1380,1326.6,1370,1355.65,0,4901,6697758.7,0,0,0
AMBUJACEM,EQ,24-APR-2017,239.4,240.35,250,240.35,246.6,246.7,0,8783579,2164895500.4,0,0,0
AMDIND,EQ,24-APR-2017,33.75,35,35,32.7,33.1,33.15,0,28387,949536.3,0,0,0
AMRUTANJAN,EQ,24-APR-2017,678.15,681.6,707.25,680,692,693.45,0,39294,27434375.2,0,0,0
AMTEKAUTO,EQ,24-APR-2017,33.45,34.3,34.3,33.25,33.55,33.45,0,1069176,35834809.7,0,0,0
ANANTRAJ,EQ,24-APR-2017,63.5,64,65,62.5,63.85,63.5,0,2400194,153435037.2,0,0,0
ANDHRABANK,EQ,24-APR-2017,60.05,60.1,61,60.1,60.85,60.85,0,1878400,113697897.1,0,0,0
ANDHRACEMT,BE,24-APR-2017,8.65,8.85,9.05,8.85,9.05,9.05,0,107366,970650.85,0,0,0
ANDHRSUGAR,EQ,24-APR-2017,325.4,326,332.75,324,329,328.85,0,76908,25287496.4,0,0,0
ANGIND,EQ,24-APR-2017,10.95,11,11.1,10.75,10.8,10.8,0,21708,236980.4,0,0,0
ANIKINDS,BE,24-APR-2017,31.3,32,32.5,31.15,31.3,32,0,5056,162570,0,0,0
ANKITMETAL,EQ,24-APR-2017,1.8,1.9,1.9,1.8,1.8,1.85,0,27785,51517,0,0,0
ANSALAPI,EQ,24-APR-2017,25.8,26.2,27.2,25.75,26.5,26.5,0,1219891,32344209.25,0,0,0
ANSALHSG,EQ,24-APR-2017,33.85,34.45,35,32.35,32.75,33,0,390321,13231880.05,0,0,0
ANTGRAPHIC,BE,24-APR-2017,1.25,1.3,1.3,1.3,1.3,1.3,0,252717,328532.1,0,0,0
APARINDS,EQ,24-APR-2017,779.6,789.95,790.5,775.65,777.7,779.2,0,47994,37635322.8,0,0,0
APCL,EQ,24-APR-2017,251.1,253.95,265,250,261.75,260.5,0,4502,1154642.55,0,0,0
APCOTEXIND,EQ,24-APR-2017,365.25,367,377.5,362.05,374.6,374.7,0,16679,6212036,0,0,0
APLAPOLLO,EQ,24-APR-2017,1271.1,1284.95,1357.9,1282.1,1304,1310.9,0,24241,32115502.5,0,0,0
APLLTD,EQ,24-APR-2017,608.1,613.9,613.9,601.55,607,606.6,0,21528,13071433.15,0,0,0
APOLLOHOSP,EQ,24-APR-2017,1167.55,1167.55,1172.9,1160,1161.5,1162.65,0,173546,202167120.15,0,0,0
APOLLOTYRE,EQ,24-APR-2017,237.1,238.05,242.3,235.5,241,241.5,0,4364101,1047595862.7,0,0,0
APOLSINHOT,BE,24-APR-2017,704.4,699,699,699,699,699,0,5,3495,0,0,0
APTECHT,EQ,24-APR-2017,223.2,224.5,225.45,221.1,221.7,221.5,0,196412,43730619.45,0,0,0
ARCHIDPLY,EQ,24-APR-2017,78.4,78.4,78.75,76.25,77,76.85,0,55439,4279183.6,0,0,0
