SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 21-Jul-2026, 103.52, 103.50, 104.29, 103.50, 104.00, 104.00, 103.95, 918, 0.95, 7, 918, 100.00
20MICRONS, EQ, 21-Jul-2026, 206.27, 205.17, 213.00, 203.36, 211.28, 211.01, 209.72, 311441, 653.15, 6671, 140643, 45.16
21STCENMGM, EQ, 21-Jul-2026, 34.38, 34.52, 35.06, 33.80, 34.71, 34.99, 34.79, 1673, 0.58, 31, 1380, 82.49
360ONE, EQ, 21-Jul-2026, 1126.50, 1126.00, 1134.60, 1112.70, 1115.40, 1119.70, 1122.92, 711700, 7991.80, 46188, 422672, 59.39
3BBLACKBIO, EQ, 21-Jul-2026, 1267.40, 1273.90, 1290.00, 1224.00, 1290.00, 1272.10, 1252.83, 11615, 145.52, 1388, 6959, 59.91
3IINFOLTD, EQ, 21-Jul-2026, 18.72, 18.94, 19.35, 18.53, 19.15, 19.12, 18.91, 787102, 148.82, 1722, 560594, 71.22
3MINDIA, EQ, 21-Jul-2026, 35240.00, 35240.00, 35490.00, 34865.00, 35280.00, 35170.00, 35168.69, 2543, 894.34, 1634, 1026, 40.35
3PLAND, EQ, 21-Jul-2026, 31.71, 31.77, 33.00, 31.75, 32.40, 32.07, 32.48, 9108, 2.96, 127, 6612, 72.60
591GS2028, GS, 21-Jul-2026, 100.00, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 100, 0.10, 1, 100, 100.00
5PAISA, EQ, 21-Jul-2026, 377.80, 381.80, 385.00, 371.00, 376.50, 377.45, 377.49, 54585, 206.05, 2322, 26776, 49.05
601GS2030, GS, 21-Jul-2026, 101.40, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 897, 0.89, 3, 897, 100.00
603GS2029, GS, 21-Jul-2026, 101.60, 100.56, 101.60, 100.56, 101.00, 101.00, 100.95, 500, 0.50, 5, 300, 60.00
610GS2031, GS, 21-Jul-2026, 99.75, 100.25, 100.25, 100.25, 100.25, 100.25, 100.25, 1, 0.00, 1, 1, 100.00
628GS2032, GS, 21-Jul-2026, 97.02, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 2600, 2.55, 1, 2600, 100.00
633GS2035, GS, 21-Jul-2026, 97.00, 97.50, 97.50, 97.50, 97.50, 97.50, 97.50, 2000, 1.95, 2, 2000, 100.00
636GS2031, GS, 21-Jul-2026, 100.40, 100.40, 102.00, 100.16, 102.00, 102.00, 100.74, 1140, 1.15, 6, 1040, 91.23
63MOONS, EQ, 21-Jul-2026, 728.60, 725.90, 742.90, 722.10, 735.00, 734.90, 736.00, 183450, 1350.18, 7057, 92305, 50.32
645GS2029, GS, 21-Jul-2026, 100.25, 100.26, 100.26, 100.26, 100.26, 100.26, 100.26, 100, 0.10, 1, 100, 100.00
648GS2035, GS, 21-Jul-2026, 99.50, 99.10, 99.35, 99.10, 99.35, 99.11, 99.12, 1334, 1.32, 2, 1334, 100.00
654GS2032, GS, 21-Jul-2026, 102.69, 100.00, 100.00, 99.50, 99.50, 99.56, 99.57, 5000, 4.98, 3, 5000, 100.00
664GS2035, GS, 21-Jul-2026, 97.70, 99.20, 99.20, 99.20, 99.20, 99.20, 99.20, 1, 0.00, 1, 1, 100.00
667GS2035, GS, 21-Jul-2026, 98.50, 103.42, 103.42, 100.00, 100.00, 100.00, 100.02, 1000, 1.00, 7, 1000, 100.00
667GS2050, GS, 21-Jul-2026, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 94.00, 140, 0.13, 1, 140, 100.00
668GS2033, GS, 21-Jul-2026, 102.00, 102.00, 102.00, 101.80, 102.00, 102.00, 101.93, 300, 0.31, 3, 200, 66.67
668GS2040, GS, 21-Jul-2026, 99.15, 99.15, 99.15, 97.50, 98.77, 98.65, 97.94, 21755, 21.31, 12, 21605, 99.31
676GS2061, GS, 21-Jul-2026, 93.34, 93.49, 93.49, 93.40, 93.40, 93.43, 93.44, 6906, 6.45, 13, 6905, 99.99
679GS2034, GS, 21-Jul-2026, 100.55, 100.55, 100.55, 100.55, 100.55, 100.55, 100.55, 100, 0.10, 1, 100, 100.00
68GS2060, GS, 21-Jul-2026, 93.83, 94.95, 94.95, 93.90, 93.90, 93.90, 94.27, 24, 0.02, 19, 24, 100.00
