SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KWALITY,EQ,09-MAR-2015,41.15,41.75,42.75,40.4,42.1,41.95,0,320024,13236404.55,0,0,0
L&TFH,EQ,09-MAR-2015,67.8,67.7,68.75,66.85,66.95,67.05,0,4188155,283964970.5,0,0,0
L&TFINANCE,N3,09-MAR-2015,1690,1685,1690.01,1685,1690.01,1690.01,0,20,33750.1,0,0,0
L&TFINANCE,N4,09-MAR-2015,1104.84,1085.35,1100,1085.31,1098.7,1089.85,0,557,606312.92,0,0,0
LAKPRE,EQ,09-MAR-2015,43.2,42.5,43,42,43,43,0,100,4249.55,0,0,0
LAKSHMIEFL,EQ,09-MAR-2015,12.7,12.7,13,12.45,12.6,12.6,0,21572,272386.6,0,0,0
LAKSHVILAS,EQ,09-MAR-2015,98.45,97.35,97.85,95.55,95.65,96.2,0,354057,34153331.4,0,0,0
LAMBODHARA,EQ,09-MAR-2015,145.45,145.8,147.8,140.2,146.5,145.8,0,7770,1118604.1,0,0,0
LAOPALA,EQ,09-MAR-2015,383.25,390,390,376,379,378.45,0,16220,6169070.1,0,0,0
LAXMIMACH,EQ,09-MAR-2015,3802.3,3761,3940,3761,3788,3789.2,0,3249,12540872.15,0,0,0
LCCINFOTEC,EQ,09-MAR-2015,0.35,0.4,0.4,0.3,0.3,0.3,0,10347,3174.1,0,0,0
LGBBROSLTD,EQ,09-MAR-2015,532.2,525.2,540.85,525.2,526,526.85,0,5992,3166671.2,0,0,0
LGBFORGE,EQ,09-MAR-2015,6.8,6.4,7,6.4,6.7,6.7,0,119507,799686.2,0,0,0
LIBERTSHOE,EQ,09-MAR-2015,276.7,275,287.9,272,274.9,274.8,0,100172,27931899.2,0,0,0
LICHSGFIN,EQ,09-MAR-2015,494.7,492,492.65,477.25,478.45,479.55,0,2211354,1071964650.75,0,0,0
LICNMFET,EQ,09-MAR-2015,13.9,13.9,13.9,13.9,13.9,13.9,0,478,6644.2,0,0,0
LINCPEN,EQ,09-MAR-2015,162.1,163,173.9,162,168.4,168.4,0,115,19329.1,0,0,0
LINDEINDIA,EQ,09-MAR-2015,432.8,428.25,442.95,421.1,425.9,424.35,0,13827,6036229.3,0,0,0
LIQUIDBEES,EQ,09-MAR-2015,999.99,1000,1000.01,999.99,999.99,1000,0,286115,286115276.9,0,0,0
LITL,EQ,09-MAR-2015,5.7,5.7,5.85,5.55,5.75,5.7,0,4780352,27330398.7,0,0,0
LLOYDELENG,EQ,09-MAR-2015,161.85,161.1,165,157.05,158.2,158.7,0,193944,31365567.85,0,0,0
LML,EQ,09-MAR-2015,7.95,7.75,8.6,7.75,8.2,8.3,0,331639,2759762.55,0,0,0
LOGIXMICRO,EQ,09-MAR-2015,54.95,52.25,54.2,52.25,52.25,52.25,0,67557,3537620.3,0,0,0
LOKESHMACH,EQ,09-MAR-2015,65.1,67,71.6,65,71.6,71.6,0,181740,12816396.55,0,0,0
LOTUSEYE,EQ,09-MAR-2015,13.65,13.9,14.9,13.05,14.65,14.65,0,118148,1719928.15,0,0,0
LOVABLE,EQ,09-MAR-2015,355.1,353,359,350,352,351.55,0,48892,17271386.15,0,0,0
LPDC,EQ,09-MAR-2015,4,3.8,4.5,3.6,4,4,0,12457,48488.55,0,0,0
LT,EQ,09-MAR-2015,1826.05,1817.2,1821.6,1755,1757.95,1762.3,0,1577677,2817829263.9,0,0,0
LUMAXAUTO,EQ,09-MAR-2015,38.45,41,41,38,38.35,38.95,0,1220,47782.8,0,0,0
LUMAXIND,EQ,09-MAR-2015,366.1,366.1,366.1,351,358.05,358.85,0,3117,1118105.5,0,0,0
LUMAXTECH,EQ,09-MAR-2015,319.35,317,319.95,303.6,304.5,305,0,20509,6300307.5,0,0,0
LUPIN,EQ,09-MAR-2015,1838.15,1836.7,1879.8,1830,1869.95,1869.5,0,1055203,1968107936.95,0,0,0
LYKALABS,EQ,09-MAR-2015,47,46.5,48.45,45.25,45.6,45.8,0,178042,8253860.1,0,0,0
LYPSAGEMS,EQ,09-MAR-2015,67.05,67.75,68.25,66.35,66.35,66.35,0,15869,1076161.2,0,0,0
M&M,EQ,09-MAR-2015,1228.65,1224,1228.8,1201,1212,1206.8,0,934486,1134294534.7,0,0,0
M&MFIN,EQ,09-MAR-2015,255.95,254.8,265.5,251.4,262.9,263.4,0,2815484,731451111.95,0,0,0
M100,EQ,09-MAR-2015,13.72,13.78,13.78,13.52,13.55,13.55,0,33868,459984.53,0,0,0
M50,EQ,09-MAR-2015,84.33,84.01,84.5,83.01,83.9,83.85,0,11200,938704.6,0,0,0
MAANALU,EQ,09-MAR-2015,35.45,33.6,36.9,33.6,33.7,34.2,0,2282,80467.8,0,0,0
MADHAV,EQ,09-MAR-2015,44.95,47.5,47.5,41.65,43,43.45,0,5066,219832.35,0,0,0
MADHUCON,EQ,09-MAR-2015,63.8,63.7,63.7,60.65,60.65,60.65,0,395322,24280727.95,0,0,0
MADRASFERT,EQ,09-MAR-2015,18.8,19.1,19.1,18.15,18.5,18.55,0,33349,618999.35,0,0,0
MAGMA,EQ,09-MAR-2015,99.35,99.5,101.1,97.1,100,99.75,0,26361,2600524.25,0,0,0
MAGNUM,EQ,09-MAR-2015,2.8,2.75,3.15,2.65,2.85,2.85,0,4200,11680,0,0,0
MAHABANK,EQ,09-MAR-2015,39.5,39.4,39.7,38.8,38.9,38.8,0,129813,5067953.7,0,0,0
MAHINDCIE,EQ,09-MAR-2015,199.95,198.7,198.7,194.05,195.6,196.45,0,444108,87282998.15,0,0,0
MAHLIFE,EQ,09-MAR-2015,505,504,509.8,490.5,500,500.9,0,11813,5939935.05,0,0,0
MAHSCOOTER,EQ,09-MAR-2015,841.3,830.1,850,822.1,825.05,825.25,0,1810,1507283.45,0,0,0
MAHSEAMLES,EQ,09-MAR-2015,212.1,211.95,211.95,207.5,207.5,207.7,0,34155,7124718.35,0,0,0
MAITHANALL,EQ,09-MAR-2015,171.8,180.5,204.95,180.5,199,198.35,0,60895,11982726.5,0,0,0
MAKE,EQ,09-MAR-2015,1378.15,1372,1398,1356,1365,1365.65,0,25974,35680241.75,0,0,0
MANAKSIA,EQ,09-MAR-2015,60.55,57.8,62.5,57.8,60.75,60.65,0,12365,742830.4,0,0,0
MANALIPETC,EQ,09-MAR-2015,16.1,16,16.1,15.6,15.7,15.65,0,258117,4068493.4,0,0,0
MANAPPURAM,EQ,09-MAR-2015,33.95,34.35,34.35,33.25,33.75,34.05,0,894818,30274661,0,0,0
MANDHANA,EQ,09-MAR-2015,271.1,277.75,277.75,268.4,271.05,271.7,0,27705,7498128.2,0,0,0
MANGALAM,EQ,09-MAR-2015,18.45,18.8,19,17.75,18.3,18.05,0,14766,267062.8,0,0,0
MANGCHEFER,EQ,09-MAR-2015,86.3,87.75,87.75,84.25,85.05,85.1,0,15644,1336719.1,0,0,0
MANGLMCEM,EQ,09-MAR-2015,290.1,290.1,290.1,281.2,284.85,284.2,0,35265,10071315.95,0,0,0
MANGTIMBER,EQ,09-MAR-2015,9.85,9.8,9.8,8.7,8.75,8.75,0,1525,13508.95,0,0,0
MANINDS,EQ,09-MAR-2015,56.95,55.5,57.65,55.5,56.2,56.4,0,25550,1450704.65,0,0,0
MANINFRA,EQ,09-MAR-2015,45.35,45,47.8,44.45,44.85,44.85,0,2378213,109756289.95,0,0,0
MANJUSHREE,EQ,09-MAR-2015,441.9,441.15,443,441.05,442.3,442,0,8070,3565008.6,0,0,0
MANUGRAPH,EQ,09-MAR-2015,34.8,34.5,34.5,33.55,33.55,33.75,0,19704,673201.25,0,0,0
MARALOVER,EQ,09-MAR-2015,29.05,29.5,29.9,28.25,28.35,28.35,0,26159,749001.6,0,0,0
MARICO,EQ,09-MAR-2015,398.35,398.8,398.8,379.45,383.25,384,0,675580,259416758.3,0,0,0
MARKSANS,EQ,09-MAR-2015,60.75,60.25,62.8,59.2,60.75,60.8,0,3011869,184738652.9,0,0,0
MARUTI,EQ,09-MAR-2015,3678.75,3632.3,3690.9,3623,3675,3671.3,0,218786,801043993.65,0,0,0
MASTEK,EQ,09-MAR-2015,496.15,491.9,512.6,477.5,484.9,482.65,0,1370135,678475597.9,0,0,0
MAWANASUG,EQ,09-MAR-2015,8.85,8.8,9,8.5,8.5,8.5,0,4746,41537,0,0,0
MAX,EQ,09-MAR-2015,468.4,460.6,471.9,455.65,462,460.2,0,262668,121301046.55,0,0,0
MAXWELL,EQ,09-MAR-2015,61.95,62.45,68.1,60.65,67.45,67.3,0,2593552,172074877.6,0,0,0
MAYURUNIQ,EQ,09-MAR-2015,436.8,436.8,443.4,428,430.15,431.35,0,18178,7885363.25,0,0,0
MBECL,EQ,09-MAR-2015,101.3,100.95,100.95,96.05,96.4,96.6,0,104752,10252108.85,0,0,0
MBLINFRA,EQ,09-MAR-2015,578.65,581,586,568.05,583,579.85,0,14807,8562902.75,0,0,0
MCDHOLDING,EQ,09-MAR-2015,34.65,35.35,35.35,33.15,34,33.85,0,6547,223035.55,0,0,0
MCDOWELL-N,EQ,09-MAR-2015,3861.65,3855,3998,3624.05,3650.1,3646.6,0,623798,2335304768.25,0,0,0
MCLEODRUSS,EQ,09-MAR-2015,244,240,245,239,240.85,239.95,0,309119,74591347.9,0,0,0
MCX,EQ,09-MAR-2015,1226,1215,1266.6,1211,1243,1241.75,0,1009448,1254629377.15,0,0,0
MEGASOFT,EQ,09-MAR-2015,5.75,5.45,5.95,5.35,5.4,5.4,0,31915,174908.95,0,0,0
MEGH,EQ,09-MAR-2015,17.8,18,18.3,17.15,17.2,17.25,0,288841,5063146.1,0,0,0
MELSTAR,EQ,09-MAR-2015,6.4,6.25,6.25,6.1,6.1,6.1,0,1945,11879.5,0,0,0
MENONBE,EQ,09-MAR-2015,138.2,147,149.9,140,142,141.85,0,2121,305871.75,0,0,0
MERCATOR,EQ,09-MAR-2015,18.5,18.5,18.5,18.05,18.1,18.1,0,973205,17823173.2,0,0,0
MERCK,EQ,09-MAR-2015,877.8,875,888.7,853,859.55,862.8,0,17883,15609588.35,0,0,0
METKORE,EQ,09-MAR-2015,8,8.5,8.95,8,8.5,8.3,0,74049,616163.2,0,0,0
MGOLD,EQ,09-MAR-2015,2490.5,2476.95,2488.95,2460,2480,2480.15,0,937,2320064.5,0,0,0
MHRIL,EQ,09-MAR-2015,274,275.9,275.9,269.95,270.8,270.7,0,67694,18436517.15,0,0,0
MIC,EQ,09-MAR-2015,7.95,7.9,7.95,7.4,7.5,7.5,0,245302,1888923.25,0,0,0
MICROSEC,EQ,09-MAR-2015,86.95,85.6,87.95,83.1,83.1,84.3,0,46792,3989614.65,0,0,0
MINDACORP,EQ,09-MAR-2015,92.95,90.4,98,88.3,92,92.45,0,22879,2165184.7,0,0,0
MINDAIND,EQ,09-MAR-2015,597.85,585,604.45,585,590,589.7,0,3439,2038375.2,0,0,0
MINDTREE,EQ,09-MAR-2015,1471,1420,1430,1367.05,1411.85,1408.3,0,425426,594364852.55,0,0,0
MIRCELECTR,EQ,09-MAR-2015,11.2,11,11.3,10.8,10.95,11.05,0,153772,1696821.55,0,0,0
MIRZAINT,EQ,09-MAR-2015,81.95,80.95,85.15,78.7,82.45,82.5,0,1022167,84318380.55,0,0,0
MMFL,EQ,09-MAR-2015,693.45,687.5,734.7,680.15,727.5,727.9,0,64635,46069036.75,0,0,0
MMTC,EQ,09-MAR-2015,57.4,56.2,57,55.5,55.75,55.65,0,354707,19901694.4,0,0,0
MOHITIND,EQ,09-MAR-2015,43.9,43.8,44,41.25,43.35,41.9,0,40888,1739680.8,0,0,0
MOIL,EQ,09-MAR-2015,278.1,278,278.1,274.55,274.8,275.4,0,23317,6439146.4,0,0,0
MOLDTKPAC,EQ,09-MAR-2015,224.65,229,229,222,222.15,225.7,0,15919,3579520.75,0,0,0
MOMAI,SM,09-MAR-2015,82,82,83.3,82,82,82,0,14400,1190640,0,0,0
MONNETISPA,EQ,09-MAR-2015,64.05,63.7,68.4,63.7,65.8,65.55,0,1984900,131881487.5,0,0,0
MONSANTO,EQ,09-MAR-2015,3283.5,3294.7,3294.7,3095,3114.5,3110.2,0,27899,87980400.5,0,0,0
MONTECARLO,EQ,09-MAR-2015,521,519.9,532.5,514.8,524,521.55,0,50082,26240443.95,0,0,0
MORARJEE,EQ,09-MAR-2015,43.6,43.8,43.8,39.05,40,40,0,20883,847683.9,0,0,0
MOREPENLAB,EQ,09-MAR-2015,10,9.9,12,9.85,12,12,0,3656316,42605271.35,0,0,0
MOSERBAER,EQ,09-MAR-2015,12.05,11.7,12.65,11.55,12.65,12.65,0,2843516,35059604.85,0,0,0
MOTHERSUMI,EQ,09-MAR-2015,482.75,483,497.85,474.5,478.6,477.7,0,1791663,875099244.8,0,0,0
MOTILALOFS,EQ,09-MAR-2015,295.7,298.05,300,290,294.65,295.25,0,11052,3281576.05,0,0,0
MPHASIS,EQ,09-MAR-2015,391.9,388.9,407.7,382.5,398,398.95,0,384927,149990451.4,0,0,0
MPSLTD,EQ,09-MAR-2015,887.3,885,915,870,872,876.65,0,10215,9066358.2,0,0,0
MRF,EQ,09-MAR-2015,41634.2,41500,41500,40912.35,41100,41065.35,0,4418,181661269.1,0,0,0
MRO-TEK,EQ,09-MAR-2015,15.8,15.65,16.7,15.1,16,15.55,0,8820,138732.8,0,0,0
MRPL,EQ,09-MAR-2015,68.25,67.45,68.8,66.45,67.75,67.75,0,522364,35400396.5,0,0,0
MSPL,EQ,09-MAR-2015,13.95,13.75,13.95,13.25,13.35,13.35,0,2857,38731.4,0,0,0
MTEDUCARE,EQ,09-MAR-2015,110.4,111,113.5,109,111.5,111.55,0,63531,7106930.3,0,0,0
MTNL,EQ,09-MAR-2015,26.6,26.35,26.4,25.2,25.5,25.5,0,1374139,35274410.45,0,0,0
MUDRA,EQ,09-MAR-2015,12.75,12,13.25,11.75,11.75,12.05,0,3252,40228.05,0,0,0
MUKANDENGG,EQ,09-MAR-2015,32.5,32.5,33.85,32,32,32.05,0,2771,88867.9,0,0,0
MUKANDLTD,EQ,09-MAR-2015,51.95,51.95,53.8,51,51,51.55,0,28316,1462876.65,0,0,0
MUKTAARTS,EQ,09-MAR-2015,34.6,35,36.3,32.9,34,33.45,0,3497,117083.95,0,0,0
MUNJALAU,EQ,09-MAR-2015,84.05,83.7,84.05,81.65,82,81.8,0,18431,1525153.85,0,0,0
MUNJALSHOW,EQ,09-MAR-2015,196,195,197.6,191,192,192.15,0,39443,7610535.25,0,0,0
MURLIIND,BE,09-MAR-2015,5.5,5.75,5.75,5.75,5.75,5.75,0,200,1150,0,0,0
MURUDCERA,EQ,09-MAR-2015,25.55,26.75,27.85,26.4,26.9,27,0,227762,6154232.5,0,0,0
MUTHOOTFIN,EQ,09-MAR-2015,219.05,216.4,223.6,216,217.4,217.4,0,203933,44676221.9,0,0,0
MUTHOOTFIN,N6,09-MAR-2015,1053.76,1054,1056,1052,1053.04,1053.89,0,1640,1727896.11,0,0,0
MUTHOOTFIN,N9,09-MAR-2015,1023.22,1010,1010,1010,1010,1010,0,25,25250,0,0,0
MVL,EQ,09-MAR-2015,0.6,0.6,0.65,0.55,0.55,0.6,0,656835,384007.6,0,0,0
MYSOREBANK,EQ,09-MAR-2015,533.65,529,532,525,526,526.35,0,3153,1661435.05,0,0,0
N100,EQ,09-MAR-2015,270.44,280.8,280.8,263,268.05,269.05,0,6517,1759124.71,0,0,0
NAGAROIL,EQ,09-MAR-2015,3.75,3.85,3.85,3.65,3.75,3.65,0,96260,355599.4,0,0,0
NAGREEKCAP,EQ,09-MAR-2015,15.5,12.5,18.6,12.5,17.7,15.85,0,901,15651,0,0,0
NAGREEKEXP,EQ,09-MAR-2015,22.45,23.95,23.95,22,22.9,22.15,0,1335,31554,0,0,0
NAHARCAP,EQ,09-MAR-2015,72,70.5,70.5,70.5,70.5,70.5,0,100,7050,0,0,0
NAHARINDUS,EQ,09-MAR-2015,52.7,52.7,52.7,50.05,51.1,51.2,0,42586,2213118.05,0,0,0
NAHARPOLY,EQ,09-MAR-2015,21,20.4,20.4,19.45,19.85,19.85,0,542,10772.3,0,0,0
NAHARSPING,EQ,09-MAR-2015,99.4,97.5,101.5,97.5,98.1,98.3,0,14928,1479176.15,0,0,0
NAKODA,EQ,09-MAR-2015,1.4,1.4,1.45,1.35,1.45,1.45,0,148852,210501.05,0,0,0
NATCOPHARM,EQ,09-MAR-2015,1509.05,1521,1581,1521,1556.95,1552.35,0,112632,175017299.05,0,0,0
NATHBIOGEN,EQ,09-MAR-2015,135.65,143,149.2,136.2,144.9,144,0,35717,5215534.75,0,0,0
NATIONALUM,EQ,09-MAR-2015,49.95,49.7,49.8,48.35,48.75,48.65,0,630788,30936495.3,0,0,0
NATNLSTEEL,BE,09-MAR-2015,17.65,18.1,18.5,17.05,17.55,17.05,0,19190,334613.2,0,0,0
NAUKRI,EQ,09-MAR-2015,924.3,918,929.7,898,907,906.4,0,293548,268675035.7,0,0,0
NAVINFLUOR,EQ,09-MAR-2015,829.45,828.95,834.85,800,808,803.5,0,12403,10111402.2,0,0,0
NAVNETEDUL,EQ,09-MAR-2015,114,115.9,115.9,113,113.9,113.8,0,29337,3339837.7,0,0,0
NBCC,EQ,09-MAR-2015,1060.95,1055,1064.4,1008,1030,1021.7,0,716751,743562075.45,0,0,0
NBVENTURES,EQ,09-MAR-2015,188.05,190,191.85,187.05,188.5,188.8,0,9409,1773993.95,0,0,0
NCC,EQ,09-MAR-2015,93.65,91.3,93.25,88.75,91.5,91,0,4078017,372118806.65,0,0,0
NCLIND,EQ,09-MAR-2015,50.7,50.8,50.8,48.5,49.05,49.15,0,69177,3418327.6,0,0,0
NCOPPER,EQ,09-MAR-2015,1.9,2,2.05,1.9,2,1.95,0,7545,14942.4,0,0,0
NDL,EQ,09-MAR-2015,63.75,64,64.75,63,63.8,63.4,0,106403,6771282.8,0,0,0
NDTV,EQ,09-MAR-2015,118.45,117.8,120.7,116,117.15,117.25,0,86401,10177458.2,0,0,0
NECLIFE,EQ,09-MAR-2015,37.8,37.35,39,36.55,37.4,37.35,0,604219,22769408.8,0,0,0
NELCAST,EQ,09-MAR-2015,34.65,33.2,35.35,33.2,34.7,34.75,0,16307,565723.9,0,0,0
NELCO,EQ,09-MAR-2015,88.1,85.55,89,84.9,85.95,85.8,0,118880,10309761.1,0,0,0
NEPCMICON,BE,09-MAR-2015,2.7,2.8,2.8,2.6,2.8,2.8,0,15238,41451.15,0,0,0
NESCO,EQ,09-MAR-2015,1652.35,1652.35,1700,1612,1646.55,1647.3,0,2033,3356037.6,0,0,0
NESTLEIND,EQ,09-MAR-2015,7295.95,7297,7425,7235,7379.45,7384.3,0,21576,158039900.1,0,0,0
NET4,EQ,09-MAR-2015,3.6,3.5,3.5,3.5,3.5,3.5,0,920,3220,0,0,0
NETWORK18,EQ,09-MAR-2015,53.7,53,53.35,51.65,51.75,52,0,470721,24818203.9,0,0,0
NEULANDLAB,EQ,09-MAR-2015,340.7,342.9,356,341.15,350.45,351.05,0,24689,8618550.75,0,0,0
NEXTMEDIA,EQ,09-MAR-2015,16.25,16.95,16.95,15.75,15.8,15.8,0,39801,644157.95,0,0,0
NEYVELILIG,EQ,09-MAR-2015,79.2,79.4,79.4,77,77.2,77.35,0,51761,4022084.1,0,0,0
NFL,EQ,09-MAR-2015,33.65,32.5,33.35,32.25,32.35,32.4,0,253009,8295122.85,0,0,0
NGCT,EQ,09-MAR-2015,1.5,1.5,1.55,1.45,1.45,1.45,0,2000,3046,0,0,0
NHAI,N1,09-MAR-2015,1091.09,1092,1100,1089.1,1100,1100,0,8002,8736248.1,0,0,0
NHAI,N2,09-MAR-2015,1121.04,1125,1125,1124,1125,1125,0,2380,2676417.56,0,0,0
NHAI,N4,09-MAR-2015,1110,1110.1,1110.1,1110,1110,1110,0,44,48841.9,0,0,0
NHAI,N5,09-MAR-2015,1191,1120,1120,1120,1120,1120,0,12,13440,0,0,0
